"L. de onda","Abs"
200.0,1.874
201.0,1.793
202.0,1.732
203.0,1.679
204.0,1.629
205.0,1.578
206.0,1.527
207.0,1.478
208.0,1.430
209.0,1.377
210.0,1.328
211.0,1.278
212.0,1.225
213.0,1.175
214.0,1.124
215.0,1.080
216.0,1.029
217.0,0.978
218.0,0.926
219.0,0.876
220.0,0.822
221.0,0.769
222.0,0.718
223.0,0.670
224.0,0.623
225.0,0.581
226.0,0.542
227.0,0.508
228.0,0.477
229.0,0.452
230.0,0.436
231.0,0.420
232.0,0.407
233.0,0.400
234.0,0.397
235.0,0.399
236.0,0.405
237.0,0.416
238.0,0.432
239.0,0.452
240.0,0.475
241.0,0.503
242.0,0.533
243.0,0.561
244.0,0.590
245.0,0.626
246.0,0.669
247.0,0.711
248.0,0.743
249.0,0.774
250.0,0.813
251.0,0.851
252.0,0.889
253.0,0.920
254.0,0.944
255.0,0.971
256.0,0.995
257.0,1.015
258.0,1.029
259.0,1.040
260.0,1.045
261.0,1.046
262.0,1.041
263.0,1.031
264.0,1.018
265.0,1.001
266.0,0.980
267.0,0.958
268.0,0.935
269.0,0.906
270.0,0.876
271.0,0.841
272.0,0.812
273.0,0.782
274.0,0.748
275.0,0.712
276.0,0.676
277.0,0.645
278.0,0.615
279.0,0.584
280.0,0.553
281.0,0.522
282.0,0.493
283.0,0.469
284.0,0.442
285.0,0.415
286.0,0.392
287.0,0.370
288.0,0.350
289.0,0.329
290.0,0.309
291.0,0.292
292.0,0.275
293.0,0.260
294.0,0.244
295.0,0.229
296.0,0.215
297.0,0.201
298.0,0.190
299.0,0.178
300.0,0.166
301.0,0.155
302.0,0.145
303.0,0.136
304.0,0.126
305.0,0.117
306.0,0.108
307.0,0.100
308.0,0.091
309.0,0.084
310.0,0.077
311.0,0.071
312.0,0.065
313.0,0.061
314.0,0.055
315.0,0.051
316.0,0.047
317.0,0.044
318.0,0.041
319.0,0.038
320.0,0.036
321.0,0.034
322.0,0.031
323.0,0.029
324.0,0.028
325.0,0.026
326.0,0.025
327.0,0.024
328.0,0.023
329.0,0.022
330.0,0.021
331.0,0.020
332.0,0.019
333.0,0.018
334.0,0.018
335.0,0.017
336.0,0.016
337.0,0.016
338.0,0.015
339.0,0.015
340.0,0.014
341.0,0.014
342.0,0.013
343.0,0.013
344.0,0.012
345.0,0.012
346.0,0.011
347.0,0.011
348.0,0.011
349.0,0.010
350.0,0.009
351.0,0.009
352.0,0.009
353.0,0.008
354.0,0.008
355.0,0.007
356.0,0.007
357.0,0.006
358.0,0.006
359.0,0.006
360.0,0.005
361.0,0.005
362.0,0.005
363.0,0.004
364.0,0.004
365.0,0.004
366.0,0.004
367.0,0.004
368.0,0.003
369.0,0.003
370.0,0.003
371.0,0.003
372.0,0.002
373.0,0.002
374.0,0.002
375.0,0.002
376.0,0.002
377.0,0.002
378.0,0.002
379.0,0.002
380.0,0.002
381.0,0.002
382.0,0.002
383.0,0.002
384.0,0.002
385.0,0.002
386.0,0.002
387.0,0.002
388.0,0.002
389.0,0.002
390.0,0.002
391.0,0.002
392.0,0.002
393.0,0.002
394.0,0.002
395.0,0.002
396.0,0.002
397.0,0.002
398.0,0.002
399.0,0.002
400.0,0.001
401.0,0.001
402.0,0.001
403.0,0.001
404.0,0.001
405.0,0.001
406.0,0.001
