"L. de onda","Abs"
200.0,2.133
201.0,2.099
202.0,2.066
203.0,2.016
204.0,1.947
205.0,1.861
206.0,1.778
207.0,1.701
208.0,1.626
209.0,1.553
210.0,1.492
211.0,1.434
212.0,1.376
213.0,1.323
214.0,1.267
215.0,1.219
216.0,1.168
217.0,1.121
218.0,1.075
219.0,1.039
220.0,1.001
221.0,0.962
222.0,0.922
223.0,0.880
224.0,0.837
225.0,0.797
226.0,0.761
227.0,0.725
228.0,0.682
229.0,0.643
230.0,0.611
231.0,0.575
232.0,0.539
233.0,0.511
234.0,0.481
235.0,0.459
236.0,0.438
237.0,0.419
238.0,0.400
239.0,0.382
240.0,0.365
241.0,0.349
242.0,0.336
243.0,0.325
244.0,0.313
245.0,0.302
246.0,0.292
247.0,0.287
248.0,0.237
249.0,0.225
250.0,0.226
251.0,0.228
252.0,0.234
253.0,0.241
254.0,0.248
255.0,0.257
256.0,0.270
257.0,0.285
258.0,0.299
259.0,0.314
260.0,0.330
261.0,0.342
262.0,0.352
263.0,0.363
264.0,0.375
265.0,0.388
266.0,0.404
267.0,0.418
268.0,0.428
269.0,0.434
270.0,0.439
271.0,0.450
272.0,0.457
273.0,0.461
274.0,0.462
275.0,0.461
276.0,0.466
277.0,0.474
278.0,0.474
279.0,0.471
280.0,0.466
281.0,0.460
282.0,0.453
283.0,0.445
284.0,0.435
285.0,0.424
286.0,0.412
287.0,0.401
288.0,0.387
289.0,0.373
290.0,0.357
291.0,0.342
292.0,0.327
293.0,0.311
294.0,0.293
295.0,0.277
296.0,0.261
297.0,0.243
298.0,0.227
299.0,0.211
300.0,0.193
301.0,0.178
302.0,0.162
303.0,0.148
304.0,0.133
305.0,0.119
306.0,0.105
307.0,0.093
308.0,0.081
309.0,0.070
310.0,0.061
311.0,0.053
312.0,0.046
313.0,0.039
314.0,0.033
315.0,0.028
316.0,0.024
317.0,0.021
318.0,0.017
319.0,0.014
320.0,0.012
321.0,0.009
322.0,0.008
